image_path                                           ,class_name       ,benefit
images/1Hibiscus rosa-sinensis(HRS)/class1_1.jpg     ,Gumamela         ,Gumamela leaves offer various health benefits including anti-inflammatory properties that help with conditions like arthritis. They are rich in antioxidants support skin health by treating rashes and minor wounds and can relieve respiratory issues like coughs and asthma. The leaves also promote hair growth and treat dandruff while aiding digestion due to their mild laxative effect These benefits are typically extracted through teas or leaf extracts though it's advisable to consult a healthcare professional before use.
images/1Hibiscus rosa-sinensis(HRS)/class1_2.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_3.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_4.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_5.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_6.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_7.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_8.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_9.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_10.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_11.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_12.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_13.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_14.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_15.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_16.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_17.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_18.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_19.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_20.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_21.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_22.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_23.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_24.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_25.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_26.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_27.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_28.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_29.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_30.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_31.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_32.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_33.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_34.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_15.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_36.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_37.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_38.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_39.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_40.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_41.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_42.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_43.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_44.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_45.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_46.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_47.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_48.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_49.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_50.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_51.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_52.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_53.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_54.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_55.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_56.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_57.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_58.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_59.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_60.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_61.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_62.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_63.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_64.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_65.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_66.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_67.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_68.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_69.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_70.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_71.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_72.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_73.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_74.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_75.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_76.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_77.jpg    ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_78.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_79.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_80.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_81.jpg     ,Gumamela         ,
images/1Hibiscus rosa-sinensis(HRS)/class1_82.jpg     ,Gumamela         ,
